Deutsche Bundesliga,Bundesliga;Bundesliga Deutschland;1. Bundesliga;Buli
Österreichische Bundesliga,Bundesliga;tipp3 Bundesliga;tipico Bundesliga;Bundesliga Österreich
Premier League,Pr. League;Premier League England
